CodBod8 TextReference,Diagram Component
"urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@ἡ ΒΑΛ","CodBod8_trace001:line(Α,Β),line(Α,Λ)"
"urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@τῆς ΒΛ","CodBod8_trace001:arc(Β,Λ)"
"urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@ἡ ΔΓ","CodBod8_trace001:line(Γ,Δ)"
"urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@ΓΒ","CodBod8_trace001:line(Β,Γ)"
"urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@τῆς ΔΒ","CodBod8_trace001:arc(Β,Δ)"
"urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@ἡ ΛΚ","CodBod8_trace001:line(Κ,Λ)"
"urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@ΚΘ","CodBod8_trace001:line(Θ,Κ)"
"urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@τῆς ΛΘ","CodBod8_trace001:arc(Θ,Λ)"
"urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@ἡ ΖΗΘ","CodBod8_trace001:line(Ζ,Η),line(Η,Θ)"
"urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@τῆς ΖΘ","CodBod8_trace001:arc(Ζ,Θ)"
"urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@ἡ ΔΕ","CodBod8_trace001:line(Δ,Ε)"
"urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@ΕΖ","CodBod8_trace001:line(Ε,Ζ)"
"urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@τῆς ΔΖ","CodBod8_trace001:arc(Δ,Ζ)"
"",""
